country_or_area,year,value,category
Belarus,1996,57251.355700374,co2
Belarus,1995,56005.93938238,co2
Belarus,1994,62402.279082903,co2
Belarus,1993,75551.755291625,co2
Belarus,1992,87060.81028961,co2
Belarus,1991,93649.166141388,co2
Belarus,1990,100438.095063708,co2
Belgium,2014,96325.4131833302,co2
Belgium,2013,101744.736736883,co2
Belgium,2012,100931.595609756,co2
Belgium,2011,104945.713770963,co2
Belgium,2010,114155.386728776,co2
Belgium,2009,107282.543508312,co2
Belgium,2008,120362.609842562,co2
Belgium,2007,118027.408646158,co2
Belgium,2006,122319.593759433,co2
Belgium,2005,125118.016504076,co2
Belgium,2004,128640.48346799,co2
Belgium,2003,127523.989700176,co2
Belgium,2002,126015.194675856,co2
Belgium,2001,125649.370538717,co2
Belgium,2000,126315.209948975,co2
Belgium,1999,124208.071769964,co2
Belgium,1998,129737.090031462,co2
Belgium,1997,123495.742758683,co2
Belgium,1996,129010.471708927,co2
Belgium,1995,125519.441990638,co2
Belgium,1994,124426.885709848,co2
Belgium,1993,121156.964954729,co2
Belgium,1992,122217.919518023,co2
Belgium,1991,123130.652897225,co2
Belgium,1990,119982.503418506,co2
Bulgaria,2014,45139.955286201,co2
Bulgaria,2013,42534.9272034699,co2
Bulgaria,2012,48117.5560830313,co2
Bulgaria,2011,53020.9811161954,co2
Bulgaria,2010,47678.6489573594,co2
Bulgaria,2009,45487.8735503956,co2
Bulgaria,2008,53655.1401671903,co2
Bulgaria,2007,55184.4241047849,co2
Bulgaria,2006,51446.2829381283,co2
Bulgaria,2005,50191.1160644292,co2
Bulgaria,2004,49170.3376894348,co2
Bulgaria,2003,49971.1515762142,co2
Bulgaria,2002,45786.2947197982,co2
Bulgaria,2001,48568.9178318705,co2
Bulgaria,2000,44896.670545605,co2
Bulgaria,1999,45751.789097251,co2
Bulgaria,1998,52143.3567693638,co2
Bulgaria,1997,54790.1341566389,co2
Bulgaria,1996,57581.194759982,co2
Bulgaria,1995,57221.6062924032,co2
Bulgaria,1994,55649.0813153431,co2
Bulgaria,1993,57203.9355176784,co2
Bulgaria,1992,56551.5935722778,co2
Bulgaria,1991,59769.3415026104,co2
Bulgaria,1990,78197.8812570199,co2
Canada,2014,574099.775511611,co2
Canada,2013,573094.038846396,co2
Canada,2012,563423.613154917,co2
Canada,2011,558152.72293811,co2
Canada,2010,555003.760260925,co2
Canada,2009,542829.458896225,co2
Canada,2008,577444.930222255,co2
Canada,2007,596041.321973836,co2
Canada,2006,573479.269701141,co2
Canada,2005,579225.335719904,co2
Canada,2004,585414.860574334,co2
Canada,2003,587306.678537712,co2
Canada,2002,569862.145645112,co2
Canada,2001,564617.020300164,co2
Canada,2000,572290.385518472,co2
Canada,1999,550183.063388038,co2
Canada,1998,533794.453645326,co2
Canada,1997,525120.011175522,co2
Canada,1996,510619.682210148,co2
Canada,1995,497224.83692526,co2
Canada,1994,482691.671271798,co2
Canada,1993,467607.237235461,co2
Canada,1992,468546.458912059,co2
Canada,1991,454246.137946001,co2
Canada,1990,463493.332387577,co2
Croatia,2014,17607.3224145688,co2
Croatia,2013,18359.4998410627,co2
Croatia,2012,18776.3813482483,co2
Croatia,2011,20614.4404738916,co2
Croatia,2010,21183.709310531,co2
Croatia,2009,21965.6352675347,co2
Croatia,2008,23715.3843178607,co2
Croatia,2007,24955.3759314165,co2
Croatia,2006,23684.9350307817,co2
Croatia,2005,23451.8458466746,co2
Croatia,2004,23005.2348535353,co2
Croatia,2003,23355.2211046544,co2
Croatia,2002,22031.1266650621,co2
Croatia,2001,20943.1099586839,co2
Croatia,2000,19789.1217501208,co2
Croatia,1999,20215.653226001,co2
Croatia,1998,19372.3876004329,co2
Croatia,1997,18666.4669752133,co2
Croatia,1996,17587.8984604534,co2
Croatia,1995,16992.8004192757,co2
Croatia,1994,16342.1818762402,co2
Croatia,1993,17081.2280227503,co2
Croatia,1992,16607.1344792414,co2
Croatia,1991,17268.9103457996,co2
Croatia,1990,23390.075209187,co2
Cyprus,2014,6878.555308563,co2
Cyprus,2013,6449.610812027,co2
Cyprus,2012,7160.971875548,co2
Cyprus,2011,7696.667805268,co2
Cyprus,2010,8004.912020822,co2
Cyprus,2009,8372.396591774,co2
Cyprus,2008,8620.395581741,co2
Cyprus,2007,8458.664261444,co2
Cyprus,2006,8152.492308125,co2
Cyprus,2005,7961.983988964,co2
Cyprus,2004,7776.909404745,co2
Cyprus,2003,7550.081927808,co2
Cyprus,2002,7160.388457603,co2
Cyprus,2001,6969.466175788,co2
Cyprus,2000,7095.964384675,co2
Cyprus,1999,6847.659115972,co2
Cyprus,1998,6580.296149717,co2
Cyprus,1997,6287.031657389,co2
Cyprus,1996,6156.132133961,co2
Cyprus,1995,5848.043785196,co2
Cyprus,1994,5977.257104602,co2
Cyprus,1993,5733.674102128,co2
Cyprus,1992,5482.974869661,co2
Cyprus,1991,5107.082886881,co2
Cyprus,1990,4621.007176785,co2
Czech Republic,2014,101159.12216724,co2
Czech Republic,2013,106477.08866661,co2
Czech Republic,2012,109841.328902436,co2
Czech Republic,2011,114113.146744787,co2
Czech Republic,2010,115757.36858641,co2
Czech Republic,2009,113970.029219436,co2
Czech Republic,2008,121780.716313732,co2
Czech Republic,2007,126933.162985254,co2
Czech Republic,2006,125923.402444959,co2
Czech Republic,2005,124590.137925265,co2
Czech Republic,2004,126876.916162316,co2
Czech Republic,2003,126151.648802001,co2
Czech Republic,2002,122593.400101873,co2
Czech Republic,2001,125541.536474736,co2
Czech Republic,2000,125841.969268613,co2
Czech Republic,1999,115475.259995958,co2
Czech Republic,1998,123696.517294897,co2
Czech Republic,1997,128732.638710869,co2
Czech Republic,1996,132234.071786388,co2
Czech Republic,1995,129767.166426691,co2
Czech Republic,1994,129188.734109272,co2
Czech Republic,1993,135588.565572531,co2
Czech Republic,1992,141565.719740237,co2
Czech Republic,1991,146047.33959314,co2
Czech Republic,1990,161662.018871736,co2
Denmark,2014,37460.6564588265,co2
Denmark,2013,41537.0358081307,co2
Denmark,2012,39524.4020330104,co2
Denmark,2011,43970.7892561051,co2
Denmark,2010,48993.4173755474,co2
Denmark,2009,48592.2113851369,co2
Denmark,2008,50935.6715289027,co2
Denmark,2007,54429.0851744511,co2
Denmark,2006,59162.4996316885,co2
Denmark,2005,51307.2445174626,co2
Denmark,2004,54916.9105639724,co2
Denmark,2003,60493.9617162995,co2
Denmark,2002,55339.6716999691,co2
Denmark,2001,55845.147180549,co2
Denmark,2000,54148.9049729906,co2
Denmark,1999,58456.4158198368,co2
Denmark,1998,61117.3416291516,co2
Denmark,1997,65457.8348433241,co2
Denmark,1996,75110.840989738,co2
Denmark,1995,61914.1610128897,co2
Denmark,1994,64988.7809040025,co2
Denmark,1993,61038.6712439614,co2
Denmark,1992,58960.3115236108,co2
Denmark,1991,64874.8138594637,co2
Denmark,1990,54306.4333356516,co2
Estonia,2014,18918.7153387101,co2
Estonia,2013,19566.3683734371,co2
Estonia,2012,17304.6372276438,co2
Estonia,2011,18449.9308643309,co2
Estonia,2010,17833.779609149,co2
Estonia,2009,14153.005161794,co2
Estonia,2008,17264.5200333765,co2
Estonia,2007,18755.6479305233,co2
Estonia,2006,15719.5289253761,co2
Estonia,2005,16330.7338304477,co2
Estonia,2004,17055.0742451822,co2
Estonia,2003,16833.2142927367,co2
Estonia,2002,15020.2841500601,co2
Estonia,2001,15493.8609887605,co2
Estonia,2000,15141.3877177023,co2
Estonia,1999,15518.4906207187,co2
Estonia,1998,16684.3031468739,co2
Estonia,1997,18223.6042706384,co2
Estonia,1996,18666.1359705806,co2
Estonia,1995,17953.7359736926,co2
Estonia,1994,19626.4459432317,co2
Estonia,1993,18810.9639158495,co2
Estonia,1992,24187.827575953,co2
Estonia,1991,33662.372514403,co2
Estonia,1990,36666.0272974484,co2
Finland,2014,47597.7335272535,co2
Finland,2013,51834.6967381541,co2
Finland,2012,50983.2728750769,co2
Finland,2011,56478.7455886964,co2
Finland,2010,63828.0182275297,co2
Finland,2009,55635.5827690138,co2
Finland,2008,58461.6330236854,co2
Finland,2007,66531.7208142561,co2
Finland,2006,68201.9059970754,co2
Finland,2005,56912.3148929823,co2
Finland,2004,68821.8128908428,co2
Finland,2003,72522.5901920366,co2
Finland,2002,64946.4682059915,co2
Finland,2001,62442.6400686017,co2
Finland,2000,56973.3505273429,co2
Finland,1999,58872.9308028447,co2
Finland,1998,59351.4981462986,co2
Finland,1997,62698.0867925088,co2
Finland,1996,64038.9222021128,co2
Finland,1995,58126.247543133,co2
Finland,1994,61696.3853292446,co2
Finland,1993,56333.26799423,co2
Finland,1992,54264.3793101323,co2
Finland,1991,55187.1794528947,co2
Finland,1990,56950.8481820202,co2
France,2014,341152.531504158,co2
France,2013,369985.594525824,co2
France,2012,370491.153703148,co2
France,2011,368183.438441815,co2
France,2010,394235.674136659,co2
France,2009,383957.624293905,co2
France,2008,401878.86465183,co2
France,2007,408508.589897444,co2
France,2006,417662.678913825,co2
France,2005,428557.610248936,co2
France,2004,423168.636085445,co2
France,2003,422312.884466797,co2
France,2002,413569.247853298,co2
France,2001,417864.70558616,co2
France,2000,417116.544673865,co2
France,1999,420506.321957388,co2
France,1998,429051.499923046,co2
France,1997,407475.111806521,co2
France,1996,414013.070054113,co2
France,1995,401571.225451732,co2
France,1994,394536.962436592,co2
France,1993,394334.83380057,co2
France,1992,414955.076785321,co2
France,1991,425042.920702848,co2
France,1990,400652.624020681,co2
Germany,2014,792902.788025434,co2
Germany,2013,835792.632256705,co2
Germany,2012,817031.440197659,co2
Germany,2011,812483.219621071,co2
Germany,2010,832259.203309583,co2
Germany,2009,788422.437923384,co2
Germany,2008,853229.940752254,co2
Germany,2007,850795.7207597,co2
Germany,2006,877422.45689212,co2
Germany,2005,865958.513395873,co2
Germany,2004,886344.629703686,co2
Germany,2003,900377.585440517,co2
Germany,2002,899161.567421003,co2
Germany,2001,915634.439635279,co2
Germany,2000,899284.993390718,co2
Germany,1999,895336.786172859,co2
Germany,1998,922778.540047935,co2
Germany,1997,930768.560542915,co2
Germany,1996,958368.724698229,co2
Germany,1995,938148.0930919,co2
Germany,1994,939207.328236553,co2
Germany,1993,955977.599356065,co2
Germany,1992,965790.835271489,co2
Germany,1991,1014119.71977239,co2
Germany,1990,1052238.2340002,co2
Greece,2014,79628.2743994757,co2
Greece,2013,82910.6259583055,co2
Greece,2012,90710.5742463723,co2
Greece,2011,94102.9439816174,co2
Greece,2010,97035.0827603655,co2
Greece,2009,103969.78429385,co2
Greece,2008,110255.765521907,co2
Greece,2007,114127.554270902,co2
Greece,2006,111777.743714104,co2
Greece,2005,113219.822395958,co2
Greece,2004,109571.060909579,co2
Greece,2003,109126.567554916,co2
Greece,2002,105051.466199101,co2
Greece,2001,105407.307598309,co2
Greece,2000,103019.664690088,co2
Greece,1999,97979.7783523224,co2
Greece,1998,98663.1941625214,co2
Greece,1997,93839.8699189575,co2
Greece,1996,89134.4253965711,co2
Greece,1995,86980.6457725937,co2
Greece,1994,86425.8565118787,co2
Greece,1993,84263.0078976228,co2
Greece,1992,84949.0258298748,co2
Greece,1991,83390.3546805713,co2
Greece,1990,83403.7199982216,co2
Hungary,2014,43573.4088387418,co2
Hungary,2013,43930.8781767816,co2
Hungary,2012,46774.9448452999,co2
Hungary,2011,50272.8651021622,co2
Hungary,2010,52108.8927624657,co2
Hungary,2009,51630.6900244073,co2
Hungary,2008,57325.1623293437,co2
Hungary,2007,58419.0391671472,co2
Hungary,2006,59751.7310814697,co2
Hungary,2005,60329.5050120849,co2
Hungary,2004,60231.6619844867,co2
Hungary,2003,61766.839595491,co2
Hungary,2002,58968.2277702584,co2
Hungary,2001,59995.7344751382,co2
Hungary,2000,58336.8070649933,co2
Hungary,1999,61593.1410164197,co2
Hungary,1998,61087.7637948753,co2
Hungary,1997,61549.9124641614,co2
Hungary,1996,62950.2532137021,co2
Hungary,1995,61354.4620207158,co2
Hungary,1994,61568.3745934751,co2
Hungary,1993,63174.9783732307,co2
Hungary,1992,62050.1263972833,co2
Hungary,1991,69392.7256389081,co2
Hungary,1990,73115.1986276439,co2
Iceland,2014,3272.20823296511,co2
Iceland,2013,3301.79631376577,co2
Iceland,2012,3290.57643132926,co2
Iceland,2011,3298.56768958589,co2
Iceland,2010,3383.55221868805,co2
Iceland,2009,3521.8907096149,co2
Iceland,2008,3567.20925966227,co2
Iceland,2007,3236.89533653359,co2
Iceland,2006,2939.27659673656,co2
Iceland,2005,2797.31459197845,co2
Iceland,2004,2837.02901057771,co2
Iceland,2003,2792.72313185368,co2
Iceland,2002,2795.90731167373,co2
Iceland,2001,2710.29472706565,co2
Iceland,2000,2728.93748510151,co2
Iceland,1999,2655.39472544564,co2
Iceland,1998,2450.23426342854,co2
Iceland,1997,2450.24391979067,co2
Iceland,1996,2385.91382557077,co2
Iceland,1995,2299.61365454463,co2
Iceland,1994,2248.36895252634,co2
Iceland,1993,2294.50464413142,co2
Iceland,1992,2172.61936326312,co2
Iceland,1991,2042.93697601045,co2
Iceland,1990,2106.02606837613,co2
Ireland,2014,36559.0685812916,co2
Ireland,2013,37049.4238313976,co2
Ireland,2012,38031.6187161936,co2
Ireland,2011,37895.1954270366,co2
Ireland,2010,41558.2750861697,co2
Ireland,2009,41996.3246778451,co2
Ireland,2008,47175.5402654915,co2
Ireland,2007,47493.1266838399,co2
Ireland,2006,47405.9667288105,co2
Ireland,2005,47952.2043880837,co2
Ireland,2004,46042.4022484132,co2
Ireland,2003,45554.322521515,co2
Ireland,2002,45952.7301698154,co2
Ireland,2001,47482.7207784323,co2
Ireland,2000,45123.3354422644,co2
Ireland,1999,42302.0878630807,co2
Ireland,1998,40572.1758596239,co2
Ireland,1997,38675.594023595,co2
Ireland,1996,37335.1081070614,co2
Ireland,1995,35718.7485642434,co2
Ireland,1994,34696.485727221,co2
Ireland,1993,33574.9717415815,co2
Ireland,1992,33344.1023763207,co2
Ireland,1991,33508.44202382,co2
Ireland,1990,32768.5267614461,co2
Italy,2014,342826.677130676,co2
Italy,2013,362063.649296268,co2
Italy,2012,389340.763399181,co2
Italy,2011,416499.534208263,co2
Italy,2010,428879.681194381,co2
Italy,2009,418881.076903293,co2
Italy,2008,467933.59324447,co2
Italy,2007,478237.711240526,co2
Italy,2006,486594.066569872,co2
Italy,2005,490914.262890322,co2
Italy,2004,492746.255602992,co2
Italy,2003,489595.50811926,co2
Italy,2002,473504.059244666,co2
Italy,2001,471124.276709558,co2
Italy,2000,465175.073350703,co2
Italy,1999,459840.64226897,co2
Italy,1998,454967.633181096,co2
Italy,1997,444055.433535223,co2
Italy,1996,440235.507200098,co2
Italy,1995,447201.168755567,co2
Italy,1994,421404.099922133,co2
Italy,1993,429158.009174904,co2
Italy,1992,435535.835117712,co2
Italy,1991,435938.613895185,co2
Italy,1990,436204.249867101,co2
Japan,2014,1265490.60931631,co2
Japan,2013,1311509.14921749,co2
Japan,2012,1296186.35836425,co2
Japan,2011,1261862.93795353,co2
Japan,2010,1212970.22514141,co2
Japan,2009,1162606.19176432,co2
Japan,2008,1235455.81022118,co2
Japan,2007,1319799.19357988,co2
Japan,2006,1285177.83728116,co2
Japan,2005,1305938.82350271,co2
Japan,2004,1298433.88847959,co2
Japan,2003,1299490.60851261,co2
Japan,2002,1294399.19841025,co2
Japan,2001,1257384.56001844,co2
Japan,2000,1274297.98807522,co2
Japan,1999,1253082.14716425,co2
Japan,1998,1218257.76164334,co2
Japan,1997,1253057.30667741,co2
Japan,1996,1255264.19757618,co2
Japan,1995,1242494.02197198,co2
Japan,1994,1228936.69128837,co2
Japan,1993,1167714.71812869,co2
Japan,1992,1174619.00608734,co2
Japan,1991,1164474.34578731,co2
Japan,1990,1155993.61991868,co2
Latvia,2014,7158.71803669862,co2
Latvia,2013,7353.22044369415,co2
Latvia,2012,7521.1225279261,co2
Latvia,2011,7807.65940956673,co2
Latvia,2010,8524.08722660934,co2
Latvia,2009,7443.28601054364,co2
Latvia,2008,8184.97124654311,co2
Latvia,2007,8610.25539674785,co2
Latvia,2006,8289.2066784209,co2
Latvia,2005,7790.40393195636,co2
Latvia,2004,7709.46076182043,co2
Latvia,2003,7703.77150791307,co2
Latvia,2002,7508.74324201186,co2
Latvia,2001,7480.50260667025,co2
Latvia,2000,7069.94204019894,co2
Latvia,1999,7709.04999256645,co2
Latvia,1998,8300.59527801083,co2
Latvia,1997,8677.54581083478,co2
Latvia,1996,9216.3839879477,co2
Latvia,1995,9141.35351650325,co2
Latvia,1994,10399.1411291737,co2
Latvia,1993,11966.1455063059,co2
Latvia,1992,14244.6533850411,co2
Latvia,1991,18021.1952417204,co2
Latvia,1990,19794.2944546485,co2
Lithuania,2014,12732.798863701,co2
Lithuania,2013,12987.8175314716,co2
Lithuania,2012,13975.5232139658,co2
Lithuania,2011,13919.0154984666,co2
Lithuania,2010,13618.9126645228,co2
Lithuania,2009,12727.12003622,co2
Lithuania,2008,14963.2547162584,co2
Lithuania,2007,15624.07633974,co2
Lithuania,2006,14303.032680413,co2
Lithuania,2005,13946.8843032497,co2
Lithuania,2004,13185.4933655222,co2
Lithuania,2003,12605.2382016521,co2
Lithuania,2002,12614.4250089828,co2
Lithuania,2001,12507.9666751041,co2
Lithuania,2000,11801.964898672,co2
Lithuania,1999,13422.1511465775,co2
Lithuania,1998,15901.5175726569,co2
Lithuania,1997,15086.2857611334,co2
Lithuania,1996,15676.8310317989,co2
Lithuania,1995,15022.5441346944,co2
Lithuania,1994,15765.4147628091,co2
Lithuania,1993,16347.1718255148,co2
Lithuania,1992,21207.8873890696,co2
Lithuania,1991,37908.6124957275,co2
Lithuania,1990,35812.8936845412,co2
Luxembourg,2014,9826.25327758284,co2
Luxembourg,2013,10303.0396071267,co2
Luxembourg,2012,10872.0644823704,co2
Luxembourg,2011,11168.5116663343,co2
Luxembourg,2010,11285.0274171344,co2
Luxembourg,2009,10725.5221348792,co2
Luxembourg,2008,11245.8724868627,co2
Luxembourg,2007,11398.7059208596,co2
Luxembourg,2006,11995.820174914,co2
Luxembourg,2005,12130.9137942819,co2
Luxembourg,2004,11871.1077184731,co2
Luxembourg,2003,10443.3832173203,co2
Luxembourg,2002,10068.1403163216,co2
Luxembourg,2001,9311.91612729174,co2
Luxembourg,2000,8798.1820808658,co2
Luxembourg,1999,7986.15588056852,co2
Luxembourg,1998,7619.36328997421,co2
Luxembourg,1997,8530.7453454746,co2
Luxembourg,1996,9217.19030053529,co2
Luxembourg,1995,9155.85264991365,co2
Luxembourg,1994,11560.5716944518,co2
Luxembourg,1993,12375.507079302,co2
Luxembourg,1992,12253.5715940463,co2
Luxembourg,1991,12467.5131948589,co2
Luxembourg,1990,11944.0073852812,co2
Netherlands,2014,157789.581719585,co2
Netherlands,2013,165475.88439356,co2
Netherlands,2012,165665.023774753,co2
Netherlands,2011,169792.136541403,co2
Netherlands,2010,182529.786939532,co2
Netherlands,2009,170796.156580042,co2
Netherlands,2008,176174.418350642,co2
Netherlands,2007,173178.420395882,co2
Netherlands,2006,172772.892779103,co2
Netherlands,2005,177540.473199828,co2
Netherlands,2004,181546.25702136,co2
Netherlands,2003,179867.888967448,co2
Netherlands,2002,176462.400587543,co2
Netherlands,2001,177037.401595998,co2
Netherlands,2000,172059.812230581,co2
Netherlands,1999,171228.109552445,co2
Netherlands,1998,176617.168521043,co2
Netherlands,1997,175487.970753103,co2
Netherlands,1996,182573.582902116,co2
Netherlands,1995,173196.297429017,co2
Netherlands,1994,175008.703110698,co2
Netherlands,1993,171497.891064769,co2
Netherlands,1992,170975.242888508,co2
Netherlands,1991,171081.473914794,co2
Netherlands,1990,162497.559622722,co2
New Zealand,2014,35616.9853050414,co2
New Zealand,2013,35094.2867396817,co2
New Zealand,2012,35621.0260193518,co2
New Zealand,2011,34366.5826844218,co2
New Zealand,2010,35017.2413542609,co2
New Zealand,2009,34806.4020881589,co2
New Zealand,2008,37674.0517694367,co2
New Zealand,2007,36651.3714858119,co2
New Zealand,2006,37519.1047271712,co2
New Zealand,2005,37645.434299041,co2
New Zealand,2004,36063.663329171,co2
New Zealand,2003,36497.1710064703,co2
New Zealand,2002,34768.2781829264,co2
New Zealand,2001,34581.7227646535,co2
New Zealand,2000,32355.957023316,co2
New Zealand,1999,31523.1860916854,co2
New Zealand,1998,29927.5013796907,co2
New Zealand,1997,31363.4526194792,co2
New Zealand,1996,29368.2649922759,co2
New Zealand,1995,28143.4576273053,co2
New Zealand,1994,27879.0592141093,co2
New Zealand,1993,27697.2273476821,co2
New Zealand,1992,28099.6999900939,co2
New Zealand,1991,26108.064501553,co2
New Zealand,1990,25419.7716716116,co2
Norway,2014,43869.4510924803,co2
Norway,2013,44309.0559727695,co2
Norway,2012,44553.9656597819,co2
Norway,2011,44946.8693532922,co2
Norway,2010,45833.8920681508,co2
Norway,2009,43212.0924688473,co2
Norway,2008,44893.0941871551,co2
Norway,2007,45842.8095311711,co2
Norway,2006,43913.7448222241,co2
Norway,2005,43548.2302876495,co2
Norway,2004,44320.0048845842,co2
Norway,2003,43906.7096554175,co2
Norway,2002,42655.8748276072,co2
Norway,2001,43530.3487635507,co2
Norway,2000,42194.6191784625,co2
Norway,1999,42691.7563679429,co2
Norway,1998,41939.0379176034,co2
Norway,1997,41683.1333687712,co2
Norway,1996,41586.7085615304,co2
Norway,1995,38464.9066615123,co2
Norway,1994,38434.7651928654,co2
Norway,1993,36520.7838206741,co2
Norway,1992,34833.2478178252,co2
Norway,1991,34070.978364376,co2
Norway,1990,35694.8243978959,co2
Poland,2014,310307.297357959,co2
Poland,2013,322440.486501595,co2
Poland,2012,326597.790549729,co2
Poland,2011,333713.650695256,co2
Poland,2010,334026.154705205,co2
Poland,2009,315937.965878291,co2
Poland,2008,329338.171084879,co2
Poland,2007,336268.110889212,co2
Poland,2006,336500.578934838,co2
Poland,2005,323372.578397668,co2
Poland,2004,324279.449842642,co2
Poland,2003,320230.170467384,co2
Poland,2002,307535.642199397,co2
Poland,2001,315274.093567475,co2
Poland,2000,319120.405105406,co2
Poland,1999,329380.898350257,co2
Poland,1998,339145.82962033,co2
Poland,1997,368415.853280443,co2
Poland,1996,377308.59613738,co2
Poland,1995,363885.777573228,co2
Poland,1994,362012.958757259,co2
Poland,1993,366427.660913436,co2
Poland,1992,365865.15951878,co2
Poland,1991,375684.15694778,co2
Poland,1990,378782.539166168,co2
Portugal,2014,48353.6903302063,co2
Portugal,2013,48495.550477338,co2
Portugal,2012,50262.4224416189,co2
Portugal,2011,52150.653443811,co2
Portugal,2010,53583.8858598739,co2
Portugal,2009,58004.1969738053,co2
Portugal,2008,60550.0402031828,co2
Portugal,2007,62791.1477666385,co2
Portugal,2006,65465.41971559,co2
Portugal,2005,70034.5294076015,co2
Portugal,2004,67458.1591415789,co2
Portugal,2003,64697.2992169906,co2
Portugal,2002,69954.4945153443,co2
Portugal,2001,66113.7557093707,co2
Portugal,2000,66411.3299157974,co2
Portugal,1999,67612.8118918815,co2
Portugal,1998,59976.20991864,co2
Portugal,1997,55454.2110573498,co2
Portugal,1996,52348.4688110753,co2
Portugal,1995,55134.3294664048,co2
Portugal,1994,51303.2041493178,co2
Portugal,1993,50502.1225996005,co2
Portugal,1992,51850.5656733148,co2
Portugal,1991,47406.8424856753,co2
Portugal,1990,45809.0714101803,co2
Romania,2014,74046.4676268308,co2
Romania,2013,74083.358238036,co2
Romania,2012,84661.2305445011,co2
Romania,2011,86163.6343263804,co2
Romania,2010,80795.7740259277,co2
Romania,2009,85288.2940231284,co2
Romania,2008,101035.420806089,co2
Romania,2007,104540.350942151,co2
Romania,2006,106175.991142102,co2
Romania,2005,102414.252372896,co2
Romania,2004,104575.077756967,co2
Romania,2003,105737.481034365,co2
Romania,2002,100655.31311867,co2
Romania,2001,100377.986962722,co2
Romania,2000,95190.9034483113,co2
Romania,1999,90443.3507659838,co2
Romania,1998,106813.977529299,co2
Romania,1997,123515.853269646,co2
Romania,1996,131939.69450211,co2
Romania,1995,128587.003639727,co2
Romania,1994,122610.776956391,co2
Romania,1993,124819.100092444,co2
Romania,1992,132732.908743069,co2
Romania,1991,143586.607530198,co2
Romania,1990,174731.886787722,co2
Russia,2014,1671568.65225681,co2
Russia,2013,1666644.42307436,co2
Russia,2012,1727489.10411795,co2
Russia,2011,1717221.95058062,co2
Russia,2010,1662592.25855081,co2
Russia,2009,1576703.96685802,co2
Russia,2008,1684999.82263502,co2
Russia,2007,1653139.05550251,co2
Russia,2006,1653289.19267186,co2
Russia,2005,1593933.34385535,co2
Russia,2004,1575180.85973468,co2
Russia,2003,1568510.14348381,co2
Russia,2002,1531200.21174359,co2
Russia,2001,1542500.06477849,co2
Russia,2000,1504182.72891476,co2
Russia,1999,1512651.93084896,co2
Russia,1998,1476588.92527691,co2
Russia,1997,1502079.86636293,co2
Russia,1996,1581293.21958917,co2
Russia,1995,1629496.29767829,co2
Russia,1994,1685494.54694021,co2
Russia,1993,1909577.84022625,co2
Russia,1992,2013175.48242406,co2
Russia,1991,2433187.64541119,co2
Russia,1990,2589725.30553003,co2
Slovakia,2014,33387.4287224285,co2
Slovakia,2013,35395.1548629239,co2
Slovakia,2012,35867.8962742317,co2
Slovakia,2011,37880.8531455433,co2
Slovakia,2010,38385.9425232062,co2
Slovakia,2009,37433.4334191131,co2
Slovakia,2008,41236.324036934,co2
Slovakia,2007,40725.2998364864,co2
Slovakia,2006,42320.4844795718,co2
